MAC Address,Status,Address,Model,Firmware,DHCP,HTTPS,Server,Warranty expiration,Host Name,IEEE 802.1X,Tags,UPnP Friendly Name,Warranty start
B8A44F9B5F71,OK,10.227.6.39:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B5F71,2/29/2024
B8A44F9B5F81,OK,10.227.6.40:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B5F81,2/29/2024
B8A44F9B52A0,OK,10.227.6.32:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B52A0,2/29/2024
B8A44F9B52D2,OK,10.227.6.34:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B52D2,2/29/2024
B8A44F9B62E7,OK,10.227.6.35:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B62E7,2/29/2024
B8A44F9B5045,OK,10.227.6.25:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B5045,2/29/2024
B8A44F9B5386,OK,10.227.6.33:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B5386,2/29/2024
B8A44F9B5851,OK,10.227.6.38:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B5851,2/29/2024
B8A44F9B6073,OK,10.227.6.30:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B6073,2/29/2024
B8A44F9B6118,OK,10.227.6.27:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F9B6118,2/29/2024
B8A44F27FDF1,OK,10.1.34.114:443,AXIS P3727-PLE,11.11.73,No,Enabled,MSMGMT1,11/7/2027 (5Y),,Enabled,,AXIS P3727-PLE - B8A44F27FDF1,6/9/2022
B8A44F30AF73,OK,10.1.34.117:80,AXIS P3727-PLE,11.11.73,No,Disabled,MSMGMT1,6/9/2027 (5Y),,Enabled,,AXIS P3727-PLE - B8A44F30AF73,6/9/2022
B8A44F44AEE5,OK,10.1.34.126:443,AXIS P3247-LVE,11.11.73,No,Enabled,MSMGMT1,12/4/2027 (5Y),,Disabled,,AXIS P3247-LVE - B8A44F44AEE5,12/4/2022
B8A44F61C1E8,OK,10.1.34.143:443,AXIS P3807-PVE,11.11.73,No,Enabled,MSMGMT1,1/14/2028 (5Y),,Disabled,,AXIS P3807-PVE - B8A44F61C1E8,1/14/2023
B8A44F61C15D,Certificate about to expire,10.1.34.144:443,AXIS P3807-PVE,11.11.73,No,Enabled,MSMGMT1,1/14/2028 (5Y),,Disabled,,AXIS P3807-PVE - B8A44F61C15D,1/14/2023
B8A44F61C203,OK,10.1.34.145:80,AXIS P3807-PVE,11.11.73,No,Disabled,MSMGMT1,1/14/2028 (5Y),,Disabled,,AXIS P3807-PVE - B8A44F61C203,1/14/2023
B8A44F77DEE0,OK,10.227.6.11:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F77DEE0,9/14/2023
B8A44F77E8DD,OK,10.227.6.12:443,AXIS P3265-V,11.11.73,No,Enabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F77E8DD,9/14/2023
B8A44F78A1DA,OK,10.227.6.10:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F78A1DA,9/14/2023
B8A44F455A1E,OK,10.1.34.127:443,AXIS P3247-LVE,11.11.73,No,Enabled,MSMGMT1,12/4/2027 (5Y),,Disabled,,AXIS P3247-LVE - B8A44F455A1E,12/4/2022
B8A44F460F4C,OK,10.1.34.135:443,AXIS P3247-LVE,11.11.73,No,Enabled,MSMGMT1,12/4/2027 (5Y),,Disabled,,AXIS P3247-LVE - B8A44F460F4C,12/4/2022
B8A44F676EB2,OK,10.1.34.147:80,AXIS P3719-PLE,10.12.252,No,Disabled,MSMGMT1,1/11/2028 (5Y),,Disabled,,AXIS P3719-PLE - B8A44F676EB2,1/11/2023
B8A44F676F1B,OK,10.1.34.148:80,AXIS P3719-PLE,10.12.252,No,Disabled,MSMGMT1,1/11/2028 (5Y),,Disabled,,AXIS P3719-PLE - B8A44F676F1B,1/11/2023
B8A44F788A6A,Not accessible,10.227.6.18:443,AXIS P3265-V,10.12.199,No,Enabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F788A6A,9/14/2023
B8A44F788AAB,OK,10.227.6.2:443,AXIS P3265-V,11.11.73,No,Enabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F788AAB,9/14/2023
B8A44F788ADD,OK,10.227.6.3:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F788ADD,9/14/2023
B8A44F789A88,OK,10.227.6.20:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F789A88,9/14/2023
B8A44F789B0E,OK,10.227.6.9:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F789B0E,9/14/2023
B8A44F789E68,OK,10.227.6.19:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F789E68,9/14/2023
B8A44F910CF9,OK,10.227.6.28:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F910CF9,2/29/2024
B8A44F7890AA,OK,10.227.6.6:443,AXIS P3265-V,11.11.73,No,Enabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F7890AA,9/14/2023
B8A44F7898D9,OK,10.227.6.8:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F7898D9,9/14/2023
B8A44F45986F,OK,10.1.34.132:443,AXIS P3247-LVE,11.11.73,No,Enabled,MSMGMT1,12/4/2027 (5Y),,Disabled,,AXIS P3247-LVE - B8A44F45986F,12/4/2022
B8A44F077982,OK,10.1.34.116:443,AXIS M3065-V,10.12.73,No,Enabled,MSMGMT1,5/5/2026 (5Y),,Disabled,,AXIS M3065-V - B8A44F077982,5/5/2021
B8A44F78888F,OK,10.227.6.17:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F78888F,9/14/2023
B8A44F78901A,OK,10.227.6.4:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F78901A,9/14/2023
B8A44F78962D,OK,10.227.6.7:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F78962D,9/14/2023
B8A44F107903,Not accessible,10.1.34.5:80,AXIS M3066-V,10.12.199,No,Disabled,MSMGMT1,4/6/2026 (5Y),,Disabled,,AXIS M3066-V - B8A44F107903,4/6/2021
B8A44F304671,OK,10.1.34.115:443,AXIS P3727-PLE,11.11.73,No,Enabled,MSMGMT1,11/7/2027 (5Y),,Enabled,,AXIS P3727-PLE - B8A44F304671,6/9/2022
B8A44F674474,Certificate about to expire,10.1.34.146:443,AXIS P3719-PLE,10.12.252,No,Enabled,MSMGMT1,1/11/2028 (5Y),,Disabled,,AXIS P3719-PLE - B8A44F674474,1/11/2023
B8A44F788527,OK,10.227.6.13:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F788527,9/14/2023
B8A44F789084,OK,10.227.6.5:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F789084,9/14/2023
B8A44F789172,OK,10.227.6.14:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,11/9/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F789172,9/14/2023
B8A44F789895,OK,10.227.6.45:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,9/20/2028 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F789895,9/14/2023
B8A44F911029,OK,10.227.6.37:80,AXIS P3265-V,11.11.73,No,Disabled,MSMGMT1,7/11/2029 (5Y),,Enabled,LPD,AXIS P3265-V - B8A44F911029,2/29/2024
B8A44FA05A13,OK,10.227.6.41:80,AXIS P4705-PLVE,12.0.91,No,Disabled,MSMGMT1,10/6/2029 (5Y),,Enabled,LPD,AXIS P4705-PLVE - B8A44FA05A13,4/27/2024
B8A44FA5A315,OK,10.227.6.42:80,AXIS P4705-PLVE,12.0.91,No,Disabled,MSMGMT1,10/6/2029 (5Y),,Enabled,LPD,AXIS P4705-PLVE - B8A44FA5A315,4/27/2024
B8A44FB1959F,OK,10.227.6.44:443,AXIS P3719-PLE,10.12.252,No,Enabled,MSMGMT1,7/11/2029 (5Y),,Disabled,LPD,AXIS P3719-PLE - B8A44FB1959F,2/29/2024
