Manufacturer,Model Name,MP,Channels
DigitalWatchdog,DWC-MV95Wi36TW,5,1
Enviro,EC-IRD4-28,2,1
Flir,DH-390 2MP,2,1
GeoVision,GV-BLFC5800,5,1
GeoVision,GV-EBD8800,8,1
GeoVision,GV-MDR220,2,1
GeoVision,GV-PBL8800,8,1
GeoVision,GV-VD1540,1.3,1
Hanwha,ANE-L6012R,2,1
Hanwha,ANE-L7012R,4,1
Hanwha,ANO-L6012R,2,1
Hanwha,ANO-L7012R,4,1
Hanwha,ANO-L7022R,4,1
Hanwha,ANV-L6012R,2,1
Hanwha,ANV-L7012R,4,1
Hanwha,PNM-12082RVD,6,2
Hanwha,PNM-8082VT,6,4
Hanwha,PNM-9000VD,10,3
Hanwha,PNM-9022V,8,1
Hanwha,PNM-9031RV,15,1
Hanwha,PNM-C12083RVD,6,2
Hanwha,PNM-C16083RVQ,12,4
Hanwha,PNM-C32083RVQ,32,4
Hanwha,PNV-A6081R,2,1
Hanwha,QND-6021,2,1
Hanwha,QND-8010R,5,1
Hanwha,QNF-9010,12,1
Hanwha,QNO-8010R,5,1
Hanwha,QNP-6320,2,1
Hanwha,QNV-C9083R,8,1
Hanwha,SPE-1620,2,16
Hanwha,TNU-6321,2,1
Hanwha,XNB-6003,2,1
Hanwha,XNB-8003,6,1
Hanwha,XNB-9003,8,1
Hanwha,XND-6080RV,2,1
Hanwha,XND-6083RV,2,1
Hanwha,XND-8080R,5,1
Hanwha,XND-8080RV,5,1
Hanwha,XND-8081RV,5,1
Hanwha,XND-8083RV,6,1
Hanwha,XND-8093RV,6,1
Hanwha,XND-9083RV,8,1
Hanwha,XNF-8010R,6,1
Hanwha,XNO-6080R,2,1
Hanwha,XNO-6083R,2,1
Hanwha,XNO-6120R,2,1
Hanwha,XNO-6123R,2,1
Hanwha,XNO-8083R,6,1
Hanwha,XNO-9083R,8,1
Hanwha,XNP-C9253R,8,1
Hanwha,XNV-6011,2,1
Hanwha,XNV-6012,2,1
Hanwha,XNV-6080R,2,1
Hanwha,XNV-6083R,2,1
Hanwha,XNV-6083RZ,2,1
Hanwha,XNV-6083Z,2,1
Hanwha,XNV-6123R,2,1
Hanwha,XNV-8080R,5,1
Hanwha,XNV-8081R,5,1
Hanwha,XNV-8083R,5,1
Hanwha,XNV-8083RZ,5,1
Hanwha,XNV-8083Z,5,1
Hanwha,XNV-8093R,5,1
Hanwha,XNV-9082R,8,1
Hanwha,XNV-9083R,8,1
Hanwha,XNV-9083RZ,8,1
Hanwha,XNZ-6320A,2,1
Hikvision,DS-2CD1143G0-I,4,1
Hikvision,DS-2CD2023G0-I,2,1
Hikvision,DS-2CD2043G2-I,4,1
Hikvision,DS-2CD2083G2-IU,8,1
Hikvision,DS-2CD2112F-I,1.3,1
Hikvision,DS-2CD2143G0-I,4,1
