Verkada Command Connector Hardware Compatibility List
Below is a list all non-Verkada cameras that are currently compatible with Command Connector. Please complete the form below if you'd like to request support for a camera not listed.
https://www.verkada.com/security-cameras/command-connector/hcl/#camerarequest

Manufacturer,Model Name,Minimum Firmware Supported,Notes
Speco,O2MD2,5.1,
Speco,O2iD4M,5.1,
Speco,O4VT2G,5.1,
Speco,O8D2M,2.460.0001.13.R - Build Date 2017-09-14,
Synology Incorporated,BC500,1.1.3,
Synology Incorporated,TC500,1.1.3,
TruVision,TVC-M5225E-3M-N,V5.0.s,
TruVision,TVGP-M01-0401-TUR-W,V21.1,
Turing Video,TP-MBAD8M28,IPC_G6203-B0001P98D1911C162,
Turing Video,TP-MFD5A28,GIPC-B6202.3.71.C056162.210720,
Tyco Security Products,Flex3-H12214800040380,SS008.03.00.00.0301,
Tyco Security Products,Flex4-T10A220900002025,SS018.05.04.01.0003,
Tyco Security Products,Illustra Flex3 3MP Dome In,SS018.05.04.01.0003,
USAVision,UA-R500F2,V102_2023_01_30,
Uniview,IPC324SR3-DVPF28-F,IPC_G6107-B0001P91D1806,
Uniview,IPC3534SR3-ADZK-G,GIPC-B6202.5.16.210809,
Uniview,IPC354SR3-ADNPF28-F,IPC_G6107-B0001P97D1806,
Uniview,IPC3614SR3-ADF28KM-G,GIPC-B6202.9.5.221122,
Uniview,IPC3615SR3-ADPF28-F,GIPC-B6202.9.5.221122,
Uniview,IPC672LR-AX4DUPKC,GIPC-B6203.11.5.LJ01.230830,
Uniview,IPC815SB-ADF14K-I0,GIPC-B6203.11.5.LJ01.230830,
Uniview,IPFE5360X,IPC_G6107-B0001P97D1806,
Uniview,IPT528AIX,IPC_G6107-B0001P97D1806,
Vicon Industries Inc.,V2002D-PTZ,01.02.1.13.4709,
Vicon Industries Inc.,V2002D-PTZ-S22500138,01.02.1.13.6387,
Vicon Industries Inc.,V2005D-W313MIR,01.00.0.8.6511,
Vicon Industries Inc.,V2005D-W313MIR-S31200791,01.00.1.8.5839,
Vicon Industries Inc.,V2005D-W313MIR-S31200793,01.00.1.8.5839,
Vicon Industries Inc.,V2005D-W313MIR-S31200794,01.00.0.8.6511,
Vicon Industries Inc.,V2005D-W313MIR-S31200795,01.00.1.8.5839,
Vicon Industries Inc.,V2105D-W313MIR,01.00.0.11.5001,
Vicon Industries Inc.,V2105D-W313MIR-S22102233,01.00.0.11.5001,
Vicon Industries Inc.,V2360W-12-1,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-41302112,01.00.0.10.6513,
Vicon Industries Inc.,V2360W-12-1-S22602960,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S22602963,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S22602964,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300051,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300053,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300054,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300055,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300056,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300057,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300058,01.00.0.10.5345,
Vicon Industries Inc.,V2360W-12-1-S31300059,01.00.0.10.5345,
Vivotech,CC9381-HV,2.2201.13.03i,
Vivotech,CC9381-HV-V2,1.2401.37.01,
Vivotech,FD9166-HNF,2.2201.13.03i,
Vivotech,FD9368-HTV,100,
Vivotech,FD9388-HTV,100,
Vivotek,FD9360-H,223,
Vivotek,IB9369,1.2101.41.01,
Vivotek,IB9369-M,1.2201.41.01,
Vivotek,IB9388-HT,223,
Vivotek,networkcamera,IP8162-VVTK-0200,
i-PRO/Panasonic,A-34W,V5.3.0 build 151209,
i-PRO/Panasonic,A-37-FW,V5.4.4 build 170407,
i-PRO/Panasonic,A-46-F,V5.5.62 build 190103,
i-PRO/Panasonic,A-87-V,V5.5.62 build 200417,
i-PRO/Panasonic,DG-SW355,4.8,
i-PRO/Panasonic,DG-SW396J,4.8,
i-PRO/Panasonic,I81HC,V5.5.114 build 200904,
i-PRO/Panasonic,NC-9520,1,
i-PRO/Panasonic,WV-NS202A,4.8,
i-PRO/Panasonic,WV-NW484S,4.8,
i-PRO/Panasonic,WV-NW502S,4.8,
i-PRO/Panasonic,WV-NW964,4.8,
i-PRO/Panasonic,WV-S1570L,1,
i-PRO/Panasonic,WV-S2111L,4.8,
i-PRO/Panasonic,WV-S2131L,4.8,
i-PRO/Panasonic,WV-S2136L,2,
i-PRO/Panasonic,WV-S2231L,4.8,
i-PRO/Panasonic,WV-S2236L,4.8,
i-PRO/Panasonic,WV-S22500-F3L,1.01,
i-PRO/Panasonic,WV-S22500-F6L,1.01,
i-PRO/Panasonic,WV-S22500-V3L,1.01,
i-PRO/Panasonic,WV-S2250L,1.01,
i-PRO/Panasonic,WV-S22700-V2L,4.8,
i-PRO/Panasonic,WV-S2270L,4.8,
i-PRO/Panasonic,WV-S2272L,1.6,
i-PRO/Panasonic,WV-S236LA,5,
i-PRO/Panasonic,WV-S2531L,5,
i-PRO/Panasonic,WV-S2531LN,4.31,
i-PRO/Panasonic,WV-S2531LT,4.31,
i-PRO/Panasonic,WV-S2536L,2.3,
i-PRO/Panasonic,WV-S2536LA,4.8,
i-PRO/Panasonic,WV-S2536LG,2.32,
i-PRO/Panasonic,WV-S2536LGA,2.32,
i-PRO/Panasonic,WV-S2536LGN,2.32,
i-PRO/Panasonic,WV-S2536LGNA,2.32,
i-PRO/Panasonic,WV-S2536LNA,2.32,
i-PRO/Panasonic,WV-S2536LNUX,2.32,
i-PRO/Panasonic,WV-S2536LT,2.3,
i-PRO/Panasonic,WV-S2536LTA,2.32,
i-PRO/Panasonic,WV-S2536LTNA,2.32,
i-PRO/Panasonic,WV-S2536LTNUX,2.32,
i-PRO/Panasonic,WV-S25500-F3L,1.01,
i-PRO/Panasonic,WV-S25500-F6L,1.01,
i-PRO/Panasonic,WV-S25500-V3L,1.01,
i-PRO/Panasonic,WV-S2550L,1.01,
i-PRO/Panasonic,WV-S25700-V2L,2.33,
i-PRO/Panasonic,WV-S25700-V2LN,2.33,
i-PRO/Panasonic,WV-S2570L,1,
i-PRO/Panasonic,WV-S2572L,1,
i-PRO/Panasonic,WV-S3131L,4.11,
i-PRO/Panasonic,WV-S3131LUX,4.81,
i-PRO/Panasonic,WV-S4151,4.11,
i-PRO/Panasonic,WV-S4156,1,
i-PRO/Panasonic,WV-S4156A,1,
i-PRO/Panasonic,WV-S4176,1,
i-PRO/Panasonic,WV-S4550L,4.8,
i-PRO/Panasonic,WV-S4556L,1,
i-PRO/Panasonic,WV-S4556LA,1,
i-PRO/Panasonic,WV-S4556LMA,2.32,
i-PRO/Panasonic,WV-S4556LUX,2.2,
i-PRO/Panasonic,WV-S4576L,1,
i-PRO/Panasonic,WV-S4576LA,4.8,
i-PRO/Panasonic,WV-S6532L,4.6,
i-PRO/Panasonic,WV-S6532LNSUX,5.02,
i-PRO/Panasonic,WV-S6532LNUX,5.02,
i-PRO/Panasonic,WV-S65340-Z2,2.2,
i-PRO/Panasonic,WV-S65340-Z4G,2.2,
i-PRO/Panasonic,WV-S65340-Z4N,2.2,
i-PRO/Panasonic,WV-S66300-Z4L,4.8,
i-PRO/Panasonic,WV-S8530,4.8,
i-PRO/Panasonic,WV-S85402-V2L,2.28,
i-PRO/Panasonic,WV-S8543L,2.6,
i-PRO/Panasonic,WV-S8544L,2.33,
i-PRO/Panasonic,WV-S8544LUX,2.33,
i-PRO/Panasonic,WV-S8573L,1,
i-PRO/Panasonic,WV-S8573LUX,1,
i-PRO/Panasonic,WV-S8574L,1,
i-PRO/Panasonic,WV-S8574LUX,1,
i-PRO/Panasonic,WV-SC588,1.9,
i-PRO/Panasonic,WV-SF549,1.6,
i-PRO/Panasonic,WV-SFN130,2.5,
i-PRO/Panasonic,WV-SFN480,2.5,
i-PRO/Panasonic,WV-SFR611L,2.5,
i-PRO/Panasonic,WV-SFR631L,2.5,
i-PRO/Panasonic,WV-SFV481,2.5,
i-PRO/Panasonic,WV-SFV611L,2.5,
i-PRO/Panasonic,WV-SFV631L,2.5,
i-PRO/Panasonic,WV-SFV781L,2.5,
i-PRO/Panasonic,WV-SW155,4.8,
i-PRO/Panasonic,WV-SW355,4.8,
i-PRO/Panasonic,WV-SW559,16,
i-PRO/Panasonic,WV-SW598,2.43,
i-PRO/Panasonic,WV-U1532L,1.3,
i-PRO/Panasonic,WV-U1532LA,2.5,
i-PRO/Panasonic,WV-U1532LAJ,2.2,
i-PRO/Panasonic,WV-U1532LAUX,1.31,
i-PRO/Panasonic,WV-U2140LA,2.5,
i-PRO/Panasonic,WV-U2142L,2.4,
i-PRO/Panasonic,WV-U2142LA,2.4,
i-PRO/Panasonic,WV-U2142LAJ,2.2,
i-PRO/Panasonic,WV-U2530L,1,
i-PRO/Panasonic,WV-U2530LA,2.5,
i-PRO/Panasonic,WV-U2530LAJ,2.2,
i-PRO/Panasonic,WV-U2532L,1.3,
i-PRO/Panasonic,WV-U2532LA,2.26,
i-PRO/Panasonic,WV-U2532LAJ,2.2,
i-PRO/Panasonic,WV-U2540L,1.3,
i-PRO/Panasonic,WV-U2540LA,2.5,
i-PRO/Panasonic,WV-U2540LAJ,2.2,
i-PRO/Panasonic,WV-X1551L,1.5,
i-PRO/Panasonic,WV-X22300-V3L,3,
i-PRO/Panasonic,WV-X2251L,1.5,
i-PRO/Panasonic,WV-X2271L,1.6,
i-PRO/Panasonic,WV-X2551LN,1.6,
i-PRO/Panasonic,WV-X2571L,1.5,
i-PRO/Panasonic,WV-X2571LN,1.6,
i-PRO/Panasonic,WV-X4171,1.6,
i-PRO/Panasonic,WV-X4172,2.01,
i-PRO/Panasonic,WV-X4173,2.01,
i-PRO/Panasonic,WV-X4571L,4.1,
i-PRO/Panasonic,WV-X4573L,4.1,
i-PRO/Panasonic,WV-X6531,4.1,
i-PRO/Panasonic,WV-X6531NEG,4.1,
i-PRO/Panasonic,WV-X6533L,4.6,
i-PRO/Panasonic,WV-X6533LN,4.6,
i-PRO/Panasonic,WV-X6533LNSUX,5.02,
i-PRO/Panasonic,WV-X6533LNUX,5.02,
i-PRO/Panasonic,WV-X8570N,2.01,
i-PRO/Panasonic,WV-X8571N,2.01,
i-PRO/Panasonic,WVS6130,2.01,
